BeeID,Env,colony,T1_order,T2_order,T3_order,T4_order,T5_order,H_F1_T1,T5_HB,T4travel,T4handling,T4total,T5travel,T5handling,T5total,dTravel,dHandling,dTotal,Flower1search,Flower1handling,Flower1Solve,Flower2search,Flower2handling,Flower2Solve,Cap1 handling,Cap1solve,Cap2handling,Cap2solve,T1_T,T2_T,T3_T,T4_T,T5_T
A191,s,a,1234,1234,1234,1342,1342,1,,9.6,16.8,99.2,13.8,23,112.6,4.2,6.2,13.4,15.5,2.5,yes,48.69,9.26,yes,6.74,yes,33.45,yes,26,05,09,10,18
A28,c,a,1234,1234,2143,1423,1432,1,,28.2,50.5,179.5,14.9,38.8,141.9,-13.3,-11.7,-37.6,75,5.5,yes,59,4,yes,4,yes,6.15,yes,95,65,49,39,13
A32,s,a,1324,,1342,1432,2341,5,,14.5,51,178.8,72,66.7,250,57.5,15.7,71.2,32,2.3,yes,18.67,7.55,yes,15.7,yes,33.73,yes,60,,44,17,100
A58,c,a,1432,1324,1423,123,1432,3,,6.7,27.1,93.3,20.2,27.1,145.7,13.5,0,52.4,62,1.78,yes,106.53,3.6,yes,5.24,yes,6.23,yes,133,67,16,04,27
A63,s,a,1324,4321,4321,1324,1324,3,,36.6,27.7,141.9,19.5,38.2,134.5,-17.1,10.5,-7.4,47,7,yes,33,4,yes,8.4,yes,12.21,yes,39,18,24,40,21
A67,s,a,3214,3142,3124,312,4132,1,,27.5,52.9,150.7,49.9,75.1,249.3,22.4,22.2,98.6,30,9.9,yes,117.52,1.79,yes,5.51,yes,9,yes,67,11,39,29,38
A77,c,a,1234,3124,3241,2341,2341,1,,19.2,21.3,150,19,22.5,150.8,-0.2,1.2,0.8,95,3.4,yes,28.04,1.5,yes,13,yes,16.3,no,63,25,40,21,46
A9,s,a,3124,1234,1243,2341,3412,1,,44.2,66.5,197.5,51.4,44.2,213.9,7.2,-22.3,16.4,47,1.6,yes,20.31,7.5,yes,9,yes,10,yes,127,47,40,55,64
A95,s,a,3241,2341,2134,1234,1234,1,,14.2,41,172.6,23.9,41.3,179.8,9.7,0.3,7.2,17,3.3,yes,5.39,5.22,yes,12,yes,7,yes,39,16,33,15,15
A98,c,a,13,431,13,413,143,2,,6.4,21.6,202.4,24,57.7,321.8,17.6,36.1,119.4,412,0,no,100.62,7.76,yes,21,yes,8,yes,37,33,08,26,16
B182,c,b,132,123,12,1234,1234,20,,39.2,73.3,202,20.8,34.9,79.6,-18.4,-38.4,-122.4,28.44,8.79,yes,75.89,2.67,yes,40.06,no,0,no,132,55,05,62,22
B187,c,b,123,1342,1432,1342,1432,2,,15.5,30.5,163.1,22.5,43.5,208.3,7,13,45.2,18.22,2.75,yes,25.3,1.25,yes,7.41,yes,11.74,yes,128,28,25,13,30
B2,s,l,124,1423,,1243,123,1,14,72.81,49.52,341.35,34.2,25.56,194.66,-38.61,-23.96,-146.69,61.53,2.28,yes,7.7,1.33,yes,10.54,yes,60.04,no,81,68,,114,37
B205,s,b,1234,2341,3421,2431,1234,1,,15.8,18.6,134.5,18.5,23.2,146.8,2.7,4.6,12.3,9,3,yes,544,19,no,8.7,yes,4.64,yes,54,25,24,17,21
B89,s,b,2314,4123,1234,11234,142,4,01,17.9,35.1,234.4,7.5,14.2,191.3,-10.4,-20.9,-43.1,22,3.7,yes,9.86,4.03,yes,8,yes,34,yes,97,16,14,24,08
B90,c,b,2341,1234,4321,1432,1432,10,18,23.5,34.9,240.2,51.3,22.5,168,27.8,-12.4,-72.2,16.2,2.54,no,97.04,30.47,no,11.18,yes,16.31,yes,313,91,22,28,44
B98,c,b,213,132,214,324,3241,4,,41.7,28.2,222,55,45.9,312.5,13.3,17.7,90.5,213,4.6,yes,38,4,yes,9.69,yes,53.66,no,57,23,44,42,65
B98L,s,l,1432,2143,1234,1234,1423,1,03,29.03,22.88,291.9,22.69,16.33,266.63,-6.34,-6.55,-25.27,2.56,2.09,yes,13.59,2.67,yes,23.32,yes,53.66,no,11,23,14,29,21
G16,s,r,1324,1342,1432,1234,143,3,1,9.34,19.81,194.08,11.41,23.61,405.92,2.07,3.8,211.84,10.82,2.75,yes,18.9,1.24,yes,29.14,yes,19.68,yes,27,23,37,08,04
G22,c,r,1423,324,4321,321,4321,3,,9.97,16.75,133.99,32.02,35.6,234.79,22.04,18.85,100.8,8.92,2.29,yes,83.85,2.14,yes,39.41,no,47.44,yes,72,50,15,53,80
G25,c,r,143,1423,123,2341,231,1,9,22.03,47.18,423.2,47.18,21.81,212.79,25.15,-25.37,-210.41,40.07,6.05,yes,23.74,1.52,yes,46.38,no,3.8,yes,44,47,72,42,49
G28,s,r,1432,1324,1432,1324,2314,2,1,27.33,38.75,196.91,30.76,23.47,188.74,3.43,-15.29,-8.17,4.94,45.1,yes,12.06,6.46,yes,13.47,yes,4.36,yes,21,27,14,79,86
G29,s,r,134,1432,1234,1234,1432,1,,18.82,31.68,197.44,7.21,11.62,222.37,-11.62,-20.06,24.93,71.11,8.56,yes,32.86,0.57,no,33.6,yes,26.88,no,35,23,38,78,07
G32,c,r,1342,4123,1243,4321,1243,2,,15.58,17.75,232.28,32.77,23.63,246.21,17.18,5.88,13.93,600,0,no,600,0,no,59.98,yes,0,no,83,32,48,47,41
G46,c,r,3421,3421,3421,4321,1234,9,4,40.05,37.73,284.94,25.3,12.12,173.19,-14.75,-25.61,-111.75,33.04,37.51,yes,16.19,1.33,yes,7.69,yes,11.6,yes,143,62,19,80,26
G8,s,r,2314,1234,1432,1234,123,1,,6.63,18.9,161.59,8.53,9.36,133.03,1.9,-9.54,-28.56,7.79,2.18,yes,10.26,1.37,yes,5.83,yes,27.53,no,64,49,25,08,07
G9,s,r,2314,1234,1234,1234,1432,3,,9.41,21.64,183.68,21.78,20.12,189.43,12.37,-1.51,5.75,6.9,1.81,yes,5.89,2.1,yes,20.24,yes,35.38,no,87,08,30,09,39
R11,c,r,1234,412,1324,342,3214,4,2,24.28,8.71,210.05,35.31,12.65,185.25,11.03,3.95,-24.8,17.47,2.19,yes,9.59,2.65,yes,19.14,yes,13.96,yes,51,11,33,26,34
R17,s,l,1243,1234,1243,1432,1234,1,,8.5,16.51,230.55,12.24,17.18,184.88,3.74,0.67,-45.67,21.37,3.31,yes,11.59,11.66,yes,6.36,yes,8.07,yes,07,13,14,09,11
R18,c,l,2341,1432,1342,1234,2431,1,03,15.31,10.9,226.47,21.26,12.52,223.33,5.95,1.62,-3.14,25.54,6.36,yes,204.34,1.24,yes,5.98,yes,13.77,yes,83,19,21,16,39
R24,s,l,3412,2134,214,1324,2431,1,06,15.85,10.25,249.71,21.85,13.29,254.76,6,3.04,5.05,6.84,1.32,yes,11.11,2.37,yes,12.14,yes,10.07,yes,17,12,17,16,20
Y35,c,l,1423,2341,1234,1234,3421,1,,17.8,14.31,269.37,26.36,15.48,248.97,8.56,1.17,-20.4,24.69,2.55,yes,19.27,2,yes,42.07,no,0,no,30,16,13,20,25
Y47,c,l,3142,3142,1324,1342,1432,1,03,18.03,20.42,246.49,14.26,18.43,227.61,-3.77,-1.99,-18.88,4.94,1.87,yes,23.17,5.03,yes,28.04,yes,11.3,yes,27,20,25,28,11
Y48,c,l,231,1234,1234,1234,1324,9,,13.74,20.29,155.11,19.01,22.55,183.16,5.27,2.27,28.05,306,0,no,142.63,2.37,yes,49.01,yes,28.3,yes,31,34,55,13,17
Y60,s,l,1432,341,1234,413,143,1,03,19.62,21.68,177.93,45.57,26.71,281.9,25.95,5.03,103.97,600,0,no,40.06,2,yes,9.4,yes,10.92,yes,45,48,25,18,28